# Derived from the answer sections embedded in the official English PDFs.
# Format: part<TAB>task<TAB>ABCD truth pattern
A	1	FFTT
A	2	TFFT
A	3	TFFF
A	4	FTFF
A	5	TFTT
A	6	FFTT
A	7	TFTF
A	8	FFTT
A	9	TFFF
A	10	FFTF
A	11	FFTT
A	12	TTFF
A	13	FFTT
A	14	TTFT
A	15	TFFF
A	16	FFFT
A	17	TFTT
A	18	TFTF
A	19	TTTT
A	20	FTFF
A	21	FTTF
A	22	FTFT
A	23	FFTF
A	24	TTFF
A	25	FFFT
A	26	TFTT
A	27	TFFF
A	28	TTTF
A	29	TFFT
A	30	FTTF
A	31	TFFT
A	32	TFFT
A	33	TTFT
A	34	FTTF
A	35	TFTF
A	36	FTTT
A	37	FFTT
A	38	FFFT
A	39	FTFF
A	40	TFFF
A	41	TFFT
A	42	FFFF
A	43	FFFF
A	44	FTTT
A	45	TFTF
A	46	FFTT
A	47	FFFT
A	48	TFTT
A	49	TFTT
A	50	FTFT
B	1	FTTF
B	2	TFFF
B	3	TTFT
B	4	TFFF
B	5	TFTF
B	6	TTTT
B	7	TTFF
B	8	FTTF
B	9	FTFF
B	10	TFTT
B	11	FTTF
B	12	FFTT
B	13	FTTF
B	14	FTTF
B	15	TTTF
B	16	FTFT
B	17	TTFT
B	18	FFFT
B	19	FFFF
B	20	FTFT
B	21	TFFT
B	22	FFTT
B	23	FTTT
B	24	FTTT
B	25	FTFT
B	26	TFTF
B	27	TTFF
B	28	TFTF
B	29	FTFT
B	30	TFFT
B	31	TTFT
B	32	TFFT
B	33	TTFF
B	34	FFTF
B	35	TTFF
B	36	FTTF
B	37	TTFT
B	38	FTFF
B	39	TTFT
B	40	TTTT
B	41	TTFT
B	42	TTTT
B	43	FTFT
B	44	TTFF
B	45	TFFF
B	46	FTFT
B	47	FTFF
B	48	TFFF
B	49	FTTF
B	50	FFTT
